data_trend,data_count,asset,canny,asset_size,cond_scale,img_idx,input_prompt,CLIP,Lie_Factor,Match_count,Rank_Sim
falling,4,pine_tree,sparse,0.8,0.8,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3648,inf,1,0.0
falling,4,pine_tree,sparse,0.8,1.0,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3741,inf,0,0.0
falling,4,pine_tree,sparse,0.8,1.0,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3706,inf,1,0.0
falling,4,pine_tree,sparse,0.8,1.0,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3605,inf,0,0.0
falling,4,pine_tree,sparse,0.8,1.0,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3456,inf,0,0.0
falling,4,pine_tree,sparse,0.8,1.2,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3615,inf,0,0.0
falling,4,pine_tree,sparse,0.8,1.2,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3603,inf,0,0.0
falling,4,pine_tree,sparse,0.8,1.2,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.371,inf,0,0.0
falling,4,pine_tree,sparse,0.8,1.2,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3162,inf,0,0.0
falling,4,pine_tree,sparse,0.8,1.4,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3827,inf,0,0.0
